-1	-1	-1	25	-1	12	8	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	2	-1	
25	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	8	-1	3	5	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	2	
12	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	8	-1	2	8	-1	-1	-1	
8	-1	-1	-1	-1	8	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	
-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	
-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	
20	5	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	
-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	5	-1	-1	6	-1	-1	
-1	-1	-1	8	-1	8	4	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	4	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	6	-1	-1	-1	-1	
-1	-1	2	3	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	5	2	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	
